RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,1.269,78.650,62
2,0,29725,Tony Finau,0.808,57.389,71
3,1,39997,Corey Conners,0.776,60.501,78
4,-1,35532,Tom Hoge,0.759,66.028,87
5,1,52375,Doug Ghim,0.754,54.321,72
6,-1,25900,Lucas Glover,0.722,53.461,74
7,0,48081,Xander Schauffele,0.700,45.529,65
8,0,46414,Aaron Rai,0.676,50.694,75
9,4,48117,Kurt Kitayama,0.575,37.923,66
10,-1,39546,Keith Mitchell,0.560,42.030,75
11,-1,33448,Justin Thomas,0.541,30.314,56
12,-1,33204,Shane Lowry,0.531,32.407,61
13,1,32757,Patton Kizzire,0.498,24.911,50
14,-3,30163,Henrik Norlander,0.493,22.676,46
15,-1,32839,Hideki Matsuyama,0.492,29.527,60
16,1,37455,Si Woo Kim,0.486,35.995,74
17,2,39324,J.J. Spaun,0.473,32.138,68
18,0,59143,Mac Meissner,0.472,28.805,61
19,1,46717,Viktor Hovland,0.458,23.830,52
20,-4,51997,Andrew Novak,0.455,31.825,70
21,0,52955,Ludvig Åberg,0.450,28.334,63
22,1,51890,Greyson Sigg,0.434,28.196,65
23,-1,26476,Chez Reavie,0.424,23.305,55
24,3,26596,Ryan Moore,0.409,25.780,63
25,0,57362,Austin Eckroat,0.401,30.078,75
26,0,27064,Jhonattan Vegas,0.399,22.719,57
27,-3,34076,Joel Dahmen,0.395,26.059,66
28,6,40115,Adam Svensson,0.380,35.312,93
29,0,27139,David Skinns,0.377,23.755,63
30,2,54628,Lee Hodges,0.363,28.711,79
31,-3,45242,Kevin Yu,0.360,21.258,59
32,-1,52453,Nicolai Højgaard,0.359,16.152,45
32,1,34587,Chan Kim,0.359,24.042,67
34,1,34098,Russell Henley,0.343,21.925,64
35,1,27644,Brian Harman,0.328,24.898,76
36,11,58168,Davis Thompson,0.327,25.202,77
37,0,54591,Ben Griffin,0.303,25.486,84
38,19,39975,Michael Kim,0.302,18.096,60
39,-1,33141,Keegan Bradley,0.301,21.405,71
39,20,31323,Gary Woodland,0.301,20.145,67
41,-1,49960,Sepp Straka,0.287,18.632,65
42,-1,27349,Alex Noren,0.286,17.168,60
43,-1,47679,Victor Perez,0.285,16.239,57
44,-14,37275,Sam Ryder,0.284,16.777,59
44,-1,51634,Sahith Theegala,0.284,23.029,81
46,-1,50525,Collin Morikawa,0.283,18.399,65
47,-1,51287,Ryo Hisatsune,0.282,17.773,63
48,11,36801,Mark Hubbard,0.275,22.311,81
49,0,31646,Emiliano Grillo,0.272,20.941,77
50,0,48887,Matt Wallace,0.265,14.598,55
51,0,56630,Akshay Bhatia,0.264,20.842,79
52,10,47988,Nick Hardy,0.263,19.705,75
52,1,55182,Tom Kim,0.263,18.933,72
52,0,36326,David Lipsky,0.263,15.227,58
55,-1,28237,Rory McIlroy,0.260,16.100,62
56,-9,28252,Seamus Power,0.259,21.995,85
57,-14,12716,Charley Hoffman,0.254,14.482,57
57,-2,47483,Will Zalatoris,0.254,13.986,55
59,-3,48153,Matthieu Pavon,0.249,13.198,53
60,-2,59442,Parker Coody,0.242,11.593,48
61,0,45522,Christiaan Bezuidenhout,0.237,17.078,72
62,17,28775,Nate Lashley,0.230,13.085,57
63,1,25493,Nick Taylor,0.220,15.818,72
64,9,35310,Lanto Griffin,0.210,11.555,55
65,1,59866,Nick Dunlap,0.206,13.210,64
66,-27,48319,Tom Whitney,0.203,9.967,49
67,0,40162,Justin Lower,0.202,15.742,78
68,-5,40026,Daniel Berger,0.197,11.203,57
69,3,34256,Andrew Putnam,0.195,13.632,70
70,10,57975,Harry Hall,0.194,12.998,67
71,2,54783,Dylan Wu,0.188,12.996,69
72,10,40250,Taylor Pendrith,0.186,13.199,71
73,-5,33948,Byeong Hun An,0.181,11.925,66
74,-3,47504,Sam Burns,0.173,11.417,66
75,0,29535,Brice Garnett,0.164,6.891,42
76,-7,32640,Troy Merritt,0.160,9.128,57
77,-2,39977,Max Homa,0.158,10.290,65
78,-2,32367,Jorge Campillo,0.157,6.602,42
79,5,36884,Ben Kohles,0.155,10.571,68
80,-3,30926,Chris Kirk,0.153,10.096,66
81,7,51696,Rico Hoey,0.150,9.451,63
82,-1,52513,Carson Young,0.144,9.616,67
83,-6,57900,Chandler Phillips,0.142,9.636,68
84,0,34021,Bud Cauley,0.141,6.746,48
85,-20,47591,Eric Cole,0.137,12.180,89
86,-1,57366,Cameron Young,0.116,8.381,72
87,-1,24502,Adam Scott,0.114,7.041,62
88,-1,60004,Jacob Bridgeman,0.106,6.267,59
89,0,30911,Tommy Fleetwood,0.099,6.309,64
90,1,34255,Joseph Bramlett,0.096,6.604,69
91,-8,40006,Erik van Rooyen,0.095,6.623,70
92,-2,29908,C.T. Pan,0.085,4.491,53
93,4,40058,Zac Blair,0.083,5.730,69
94,-2,51766,Wyndham Clark,0.075,4.643,62
94,7,33486,Roger Sloan,0.075,3.987,53
96,-26,32070,Rafael Campos,0.067,2.885,43
97,-3,39971,Sungjae Im,0.065,4.873,75
98,-3,60067,Joe Highsmith,0.053,2.914,55
99,-3,47420,Jake Knapp,0.046,3.023,66
100,6,48867,Matti Schmid,0.035,2.201,63
101,-8,29936,Ryan Fox,0.029,1.868,65
102,-3,35450,Patrick Cantlay,0.024,1.329,55
103,-3,33968,Thorbjørn Olesen,0.022,0.893,40
104,-1,36871,Matt NeSmith,0.009,0.540,61
105,-3,29420,Billy Horschel,0.007,0.441,67
106,-2,47993,Denny McCarthy,-0.009,-0.673,76
107,6,52374,Brandon Wu,-0.013,-0.754,60
108,-1,52514,Trace Crowe,-0.021,-1.114,52
109,-11,39327,Ben Silverman,-0.022,-1.464,67
110,-1,51977,Max Greyserman,-0.034,-2.028,60
