RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,55789,Taylor Montgomery,0.873,38.422,44
2,0,35506,Mackenzie Hughes,0.688,55.711,81
3,0,47993,Denny McCarthy,0.686,52.123,76
4,0,39327,Ben Silverman,0.640,42.903,67
5,0,51977,Max Greyserman,0.625,37.529,60
6,1,40250,Taylor Pendrith,0.592,42.032,71
7,1,60004,Jacob Bridgeman,0.587,34.605,59
8,-2,50493,Justin Suh,0.574,35.012,61
9,7,59836,Pierceson Coody,0.568,34.621,61
10,0,48081,Xander Schauffele,0.546,35.519,65
11,2,34099,Harris English,0.543,40.726,75
12,-1,28089,Jason Day,0.541,31.891,59
13,-1,33653,Thomas Detry,0.532,34.584,65
14,1,47504,Sam Burns,0.496,32.716,66
14,18,51894,Vince Whaley,0.496,25.272,51
16,7,35461,Beau Hossler,0.492,36.905,75
17,0,51766,Wyndham Clark,0.476,29.497,62
18,-4,50188,S.H. Kim,0.475,39.458,83
19,-10,22371,Aaron Baddeley,0.470,27.288,58
20,-2,45522,Christiaan Bezuidenhout,0.459,33.062,72
21,-2,24024,Zach Johnson,0.450,18.892,42
22,3,23108,Matt Kuchar,0.449,27.828,62
23,-3,47983,Chad Ramey,0.443,28.355,64
23,-2,32333,Kevin Tway,0.443,18.600,42
25,-3,29420,Billy Horschel,0.442,29.631,67
26,0,40098,Matt Fitzpatrick,0.416,25.813,62
27,-3,30927,Brendon Todd,0.404,33.961,84
28,7,40006,Erik van Rooyen,0.403,28.205,70
29,-2,24502,Adam Scott,0.398,24.698,62
30,-2,52372,Cameron Champ,0.362,17.393,48
31,2,55893,Sam Stevens,0.356,25.953,73
32,7,47995,Davis Riley,0.351,22.841,65
33,-4,40162,Justin Lower,0.350,27.270,78
34,0,56630,Akshay Bhatia,0.345,27.225,79
35,-5,46442,Maverick McNealy,0.334,25.056,75
36,0,52215,Robert MacIntyre,0.321,20.210,63
37,-6,33408,Tyson Alexander,0.320,18.538,58
38,5,34256,Andrew Putnam,0.317,22.185,70
39,-2,51634,Sahith Theegala,0.311,25.182,81
40,-2,34098,Russell Henley,0.304,19.447,64
41,4,29936,Ryan Fox,0.282,18.353,65
42,-1,27644,Brian Harman,0.280,21.250,76
43,2,46717,Viktor Hovland,0.269,13.993,52
44,5,34563,Chesson Hadley,0.265,16.188,61
44,0,34466,Peter Malnati,0.265,17.736,67
46,8,48867,Matti Schmid,0.260,16.358,63
47,-6,54591,Ben Griffin,0.255,21.412,84
48,0,33968,Thorbjørn Olesen,0.251,10.021,40
49,-9,57900,Chandler Phillips,0.248,16.894,68
49,6,49771,J.T. Poston,0.248,18.381,74
51,6,57975,Harry Hall,0.247,16.559,67
52,-2,35450,Patrick Cantlay,0.234,12.868,55
53,-2,27349,Alex Noren,0.213,12.753,60
54,10,32791,K.H. Lee,0.212,13.353,63
55,-2,32366,Kevin Chappell,0.209,7.948,38
56,16,27936,Martin Laird,0.195,10.702,55
57,-5,50484,Hayden Springer,0.189,10.020,53
58,-11,33486,Roger Sloan,0.177,9.400,53
59,-2,28237,Rory McIlroy,0.173,10.748,62
60,-4,47591,Eric Cole,0.172,15.300,89
61,-1,50525,Collin Morikawa,0.165,10.730,65
62,7,49947,Taylor Moore,0.162,13.111,81
63,-2,52955,Ludvig Åberg,0.151,9.519,63
63,17,29478,Kevin Kisner,0.151,6.926,46
65,-3,54421,Garrick Higgo,0.149,8.928,60
66,-3,54576,Patrick Fishburn,0.138,6.756,49
67,-2,36699,Patrick Rodgers,0.136,11.187,82
68,-2,47679,Victor Perez,0.135,7.690,57
69,-2,39971,Sungjae Im,0.133,9.971,75
70,-2,48887,Matt Wallace,0.131,7.185,55
71,-2,31646,Emiliano Grillo,0.129,9.952,77
72,3,48119,Ben Taylor,0.127,6.714,53
73,-2,48153,Matthieu Pavon,0.125,6.602,53
74,16,46113,Ryan McCormick,0.103,4.718,46
75,0,46046,Scottie Scheffler,0.095,5.864,62
76,1,54783,Dylan Wu,0.093,6.393,69
77,-20,52514,Trace Crowe,0.091,4.748,52
78,1,58168,Davis Thompson,0.088,6.771,77
79,-6,52666,Sami Valimaki,0.085,4.528,53
80,2,27649,Brandt Snedeker,0.078,3.971,51
81,-1,52513,Carson Young,0.066,4.449,67
82,-4,33399,Adam Hadwin,0.058,3.934,68
83,1,46414,Aaron Rai,0.054,4.082,75
84,-1,35532,Tom Hoge,0.053,4.606,87
85,16,47347,Adam Schenk,0.051,3.810,74
86,2,30911,Tommy Fleetwood,0.040,2.574,64
86,-2,51997,Andrew Novak,0.040,2.833,70
88,-14,59095,Chris Gotterup,0.031,1.920,62
89,0,32102,Rickie Fowler,0.025,1.587,64
90,6,36801,Mark Hubbard,0.023,1.840,81
91,7,39975,Michael Kim,0.022,1.306,60
91,-1,22405,Justin Rose,0.022,1.161,53
93,-6,28775,Nate Lashley,0.021,1.202,57
94,9,29908,C.T. Pan,0.020,1.035,53
95,-3,36799,Stephan Jaeger,0.010,0.711,73
96,-10,25493,Nick Taylor,-0.001,-0.104,72
97,-3,59866,Nick Dunlap,-0.006,-0.387,64
97,-3,34046,Jordan Spieth,-0.006,-0.383,63
99,-3,46441,Robby Shelton,-0.017,-1.060,63
100,-1,28252,Seamus Power,-0.028,-2.359,85
100,-7,27139,David Skinns,-0.028,-1.790,63
102,0,49960,Sepp Straka,-0.034,-2.227,65
103,-3,37212,Paul Barjon,-0.041,-1.757,43
103,4,27129,Luke List,-0.041,-2.500,61
105,3,34374,Erik Barnes,-0.060,-2.568,43
106,8,51349,Nico Echavarria,-0.064,-4.002,63
107,2,47420,Jake Knapp,-0.067,-4.448,66
108,17,56149,Wilson Furr,-0.069,-3.094,45
109,1,59143,Mac Meissner,-0.072,-4.413,61
110,3,39977,Max Homa,-0.073,-4.748,65
111,22,35310,Lanto Griffin,-0.076,-4.204,55
111,3,33204,Shane Lowry,-0.076,-4.657,61
113,3,33948,Byeong Hun An,-0.079,-5.240,66
114,4,39324,J.J. Spaun,-0.080,-5.431,68
115,-5,55182,Tom Kim,-0.081,-5.839,72
116,1,32839,Hideki Matsuyama,-0.082,-4.941,60
117,1,51287,Ryo Hisatsune,-0.084,-5.321,63
118,-14,40058,Zac Blair,-0.087,-5.974,69
119,2,37378,Min Woo Lee,-0.092,-5.044,55
120,2,32757,Patton Kizzire,-0.101,-5.065,50
121,-11,37275,Sam Ryder,-0.107,-6.318,59
122,1,32367,Jorge Campillo,-0.110,-4.634,42
123,-17,52374,Brandon Wu,-0.114,-6.837,60
124,-4,30163,Henrik Norlander,-0.120,-5.525,46
125,-20,36884,Ben Kohles,-0.133,-9.040,68
126,0,34021,Bud Cauley,-0.139,-6.672,48
127,-1,33141,Keegan Bradley,-0.141,-10.045,71
128,2,39997,Corey Conners,-0.168,-13.114,78
129,6,12716,Charley Hoffman,-0.176,-10.053,57
130,-3,27214,Kevin Streelman,-0.182,-10.189,56
131,-7,47988,Nick Hardy,-0.184,-13.806,75
132,-3,57362,Austin Eckroat,-0.190,-14.232,75
133,8,45609,Tyler Duncan,-0.209,-11.472,55
134,2,59442,Parker Coody,-0.223,-10.709,48
134,2,47483,Will Zalatoris,-0.223,-12.257,55
136,10,52375,Doug Ghim,-0.228,-16.410,72
137,1,52453,Nicolai Højgaard,-0.231,-10.401,45
138,-7,36871,Matt NeSmith,-0.232,-14.175,61
139,0,57366,Cameron Young,-0.235,-16.891,72
140,10,60067,Joe Highsmith,-0.239,-13.129,55
141,1,50497,Adrien Dumont de Chassart,-0.244,-13.419,55
142,-10,45157,Cam Davis,-0.254,-18.287,72
143,-9,55708,Hayden Buckley,-0.257,-15.188,59
144,-16,32070,Rafael Campos,-0.259,-11.127,43
145,-2,25900,Lucas Glover,-0.266,-19.707,74
146,10,51696,Rico Hoey,-0.271,-17.101,63
147,8,31323,Gary Woodland,-0.275,-18.407,67
148,-8,26476,Chez Reavie,-0.276,-15.200,55
149,-1,37455,Si Woo Kim,-0.291,-21.513,74
150,-5,39546,Keith Mitchell,-0.294,-22.083,75
151,-2,29725,Tony Finau,-0.297,-21.059,71
152,-8,54628,Lee Hodges,-0.302,-23.844,79
153,-6,34587,Chan Kim,-0.337,-22.588,67
154,0,27064,Jhonattan Vegas,-0.340,-19.358,57
155,-2,32640,Troy Merritt,-0.354,-20.151,57
156,-5,45242,Kevin Yu,-0.361,-21.284,59
157,-5,28420,Ryan Brehm,-0.363,-16.313,45
158,4,36326,David Lipsky,-0.385,-22.310,58
159,4,38991,Alejandro Tosti,-0.407,-24.442,60
160,0,30926,Chris Kirk,-0.412,-27.194,66
161,-3,47663,Kevin Dougherty,-0.433,-21.226,49
162,4,40026,Daniel Berger,-0.435,-24.777,57
162,0,29535,Brice Garnett,-0.435,-18.282,42
164,-3,40115,Adam Svensson,-0.453,-42.148,93
165,-6,46340,Alex Smalley,-0.463,-26.871,58
166,-2,48117,Kurt Kitayama,-0.467,-30.853,66
167,-2,33448,Justin Thomas,-0.499,-27.927,56
168,-11,34255,Joseph Bramlett,-0.504,-34.784,69
169,-2,51890,Greyson Sigg,-0.508,-33.043,65
170,-2,26596,Ryan Moore,-0.533,-33.588,63
171,-2,48319,Tom Whitney,-0.593,-29.056,49
172,-2,48699,Callum Tarren,-0.674,-37.045,55
173,0,55454,Carl Yuan,-0.704,-37.297,53
174,-3,34076,Joel Dahmen,-0.705,-46.508,66
175,-3,27770,Camilo Villegas,-0.720,-30.959,43
176,-2,27330,Josh Teater,-0.821,-30.384,37
177,-2,51070,Vincent Norrman,-0.954,-43.863,46
